a_b,d_b,wave_frequency_K,phi_real_0,phi_imag_0,phi_real_1,phi_imag_1,phi_real_2,phi_imag_2,phi_real_3,phi_imag_3,phi_real_4,phi_imag_4,phi_real_5,phi_imag_5,phi_real_6,phi_imag_6,phi_real_7,phi_imag_7,phi_real_8,phi_imag_8,phi_real_9,phi_imag_9,phi_real_10,phi_imag_10,phi_real_11,phi_imag_11,phi_real_12,phi_imag_12,phi_real_13,phi_imag_13,phi_real_14,phi_imag_14,phi_real_15,phi_imag_15,phi_real_16,phi_imag_16,phi_real_17,phi_imag_17,phi_real_18,phi_imag_18,phi_real_19,phi_imag_19,phi_real_20,phi_imag_20,phi_real_21,phi_imag_21,phi_real_22,phi_imag_22,phi_real_23,phi_imag_23,phi_real_24,phi_imag_24,Added_Mass,Damping_Coefficient
1.0,0.1,0.5,6.011663250880303,-6.530773050068747,5.207142532129037,-5.664271693563812,5.207141909456465,-5.66427100901624,5.207141677180035,-5.664270742968885,5.207142573414054,-5.664271713222551,5.207145658083283,-5.664275080040685,5.207142573414054,-5.664271713222551,5.207141677180035,-5.664270742968885,5.207141909456465,-5.66427100901624,3.1082571350552475,-3.396880216604288,3.108255375618229,-3.396878289269549,3.1082551666165403,-3.3968780455201593,3.10825377790623,-3.39687649487084,3.1082651830327532,-3.3968890096108004,3.10825377790623,-3.39687649487084,3.1082551666165403,-3.3968780455201593,3.108255375618229,-3.396878289269549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.19175150119478,10.033255608923753
1.0,0.1,1.0,1.3830961018211942,-1.3655750203397081,1.0675185616470748,-1.084425832609502,1.0675203404326492,-1.084421428814808,1.067529014145187,-1.0844156258901505,1.0675383527421767,-1.0844109360400696,1.0675549650815515,-1.084422134614041,1.0675383527421767,-1.0844109360400696,1.067529014145187,-1.0844156258901505,1.0675203404326492,-1.084421428814808,0.3969282794012147,-0.46939793494099086,0.39699842297997534,-0.46946000825030876,0.3969912857152684,-0.4694363443189034,0.39694399080700027,-0.469373273685771,0.3970724050734929,-0.469495987775629,0.39694399080700027,-0.469373273685771,0.3969912857152684,-0.4694363443189034,0.39699842297997534,-0.46946000825030876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3850154992774644,1.547854722070026
1.0,0.1,1.5,1.170001570408451,-1.09003716001791,0.7211133065217348,-0.7436589725097468,0.7211120921014782,-0.7436527098851623,0.7211125520926388,-0.7436472227049672,0.7211099361010459,-0.7436462256360566,0.7211281900036741,-0.7436687537998502,0.7211099361010459,-0.7436462256360566,0.7211125520926388,-0.7436472227049672,0.7211120921014782,-0.7436527098851623,-0.059651077713985055,-0.1144273996430859,-0.05952423331217504,-0.11453663004847472,-0.0595549285055748,-0.11449844519677609,-0.05965592833434489,-0.11440620740459839,-0.05946258383352388,-0.114604709335659,-0.05965592833434489,-0.11440620740459839,-0.0595549285055748,-0.11449844519677609,-0.05952423331217504,-0.11453663004847472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28889079323756595,0.658163446148769
1.0,0.1,2.0,2.1300221338804857,-0.07114098079466034,0.9810105702835034,-0.03776127130268359,0.9809897842027471,-0.03774222534784341,0.9809721709104205,-0.03772353905311245,0.9809881626275252,-0.037743235004834064,0.981041691910926,-0.03776420574161312,0.9809881626275252,-0.037743235004834064,0.9809721709104205,-0.03772353905311245,0.9809897842027471,-0.03774222534784341,-0.6847485683460083,0.012067624529090692,-0.6844207871931199,0.012092755913450421,-0.6845469301637698,0.012133324513845798,-0.6848090422530186,0.012105618393897847,-0.6841980055443514,0.012046918248518345,-0.6848090422530186,0.012105618393897847,-0.6845469301637698,0.012133324513845798,-0.6844207871931199,0.012092755913450421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931449792847078,0.0010310514161436038
1.0,0.2,0.5,-4.8230359862451,-2.6296999667842327,-4.348931884945921,-2.3687481545992988,-4.348930742500898,-2.368747535399216,-4.348930526218248,-2.368747421404159,-4.3489296791690375,-2.368746960520155,-4.348938915151836,-2.3687519900497263,-4.3489296791690375,-2.368746960520155,-4.348930526218248,-2.368747421404159,-4.348930742500898,-2.368747535399216,-2.9851999873751187,-1.6204383525395472,-2.985236458517257,-1.620458245167801,-2.985226362122631,-1.6204527467868282,-2.9851923614718356,-1.620434218325045,-2.985269055952282,-1.6204759978820638,-2.9851923614718356,-1.620434218325045,-2.985226362122631,-1.6204527467868282,-2.985236458517257,-1.620458245167801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.586557460565112,4.663919089466001
1.0,0.2,1.0,0.4229794723905212,-2.2171111774173204,0.34903763359248446,-1.927072819580426,0.34903753452355024,-1.9270717136746174,0.34903772779675485,-1.9270719366345503,0.3490373805766682,-1.9270697086718838,0.34904026663867915,-1.9270855075176394,0.3490373805766682,-1.9270697086718838,0.34903772779675485,-1.9270719366345503,0.34903753452355024,-1.9270717136746174,0.17074478676249555,-1.174487853885055,0.17076172469734244,-1.174575957065425,0.17075783725226287,-1.1745542915090048,0.17074302067200667,-1.1744748405023406,0.17077391392189867,-1.1746413615146147,0.17074302067200667,-1.1744748405023406,0.17075783725226287,-1.1745542915090048,0.17076172469734244,-1.174575957065425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5315153189698051,3.471355466783226
1.0,0.2,1.5,0.18793041562253435,-1.1913858279329346,0.11114490404567332,-0.9810326046313641,0.11114418979012713,-0.9810353414159612,0.11114241238346391,-0.9810362399345651,0.11114064472426434,-0.9810324061862281,0.11114030468941258,-0.9810271016754265,0.11114064472426434,-0.9810324061862281,0.11114241238346391,-0.9810362399345651,0.11114418979012713,-0.9810353414159612,-0.04358183492190265,-0.4899486533930627,-0.043576096314947646,-0.49000317716066805,-0.04357989187968184,-0.48999489425063714,-0.0435894945996701,-0.4899483270764113,-0.043574368602575575,-0.4900130155754824,-0.0435894945996701,-0.4899483270764113,-0.04357989187968184,-0.48999489425063714,-0.043576096314947646,-0.49000317716066805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519399542542309,1.5313582788165616
1.0,0.2,2.0,0.15340655862757938,-0.882794474938558,0.03579556256902522,-0.6723763348201891,0.03579444193181229,-0.6723793251582775,0.03579284668364762,-0.6723809800511378,0.035792155465532,-0.6723764486240814,0.03579422135985779,-0.6723766751966139,0.035792155465532,-0.6723764486240814,0.03579284668364762,-0.6723809800511378,0.03579444193181229,-0.6723793251582775,-0.175120184100094,-0.23165413661246367,-0.17511045878614276,-0.23174427183287746,-0.17511556864850727,-0.23172887328770714,-0.1751293653019582,-0.23164737915692615,-0.17509719660306616,-0.23178636101330666,-0.1751293653019582,-0.23164737915692615,-0.17511556864850727,-0.23172887328770714,-0.17511045878614276,-0.23174427183287746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37234020037095106,0.8305604759233712
1.0,0.3,0.5,-2.859621734352669,-0.7329486115756398,-2.6207387836929814,-0.6707150864882303,-2.6207381188361007,-0.670714917254833,-2.620737900014543,-0.6707148624132807,-2.620738016485902,-0.6707148925109241,-2.62074099490042,-0.670715653751558,-2.620738016485902,-0.6707148925109241,-2.620737900014543,-0.6707148624132807,-2.6207381188361007,-0.670714917254833,-1.9026120789209908,-0.4845810371450821,-1.9026120925783465,-0.4845810445230812,-1.90261119363795,-0.48458081591483226,-1.9026090444362562,-0.4845802688276723,-1.902619751496424,-0.48458299786592746,-1.9026090444362562,-0.4845802688276723,-1.90261119363795,-0.48458081591483226,-1.9026120925783465,-0.4845810445230812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.423477004027982,1.3823755302539418
1.0,0.3,1.0,-0.889152723548611,-2.0898524040132775,-0.8108858819298979,-1.8684265217644134,-0.8108864161632942,-1.8684276721690416,-0.8108867263769273,-1.868428264017325,-0.8108856905282823,-1.8684258041073825,-0.8108861197016561,-1.8684269699436378,-0.8108856905282823,-1.8684258041073825,-0.8108867263769273,-1.868428264017325,-0.8108864161632942,-1.8684276721690416,-0.581890719571174,-1.2547580984015847,-0.5819147021035113,-1.2548139217934402,-0.581909911244973,-1.254802509786577,-0.5818913592704033,-1.2547585598115067,-0.5819213038059081,-1.2548304331473858,-0.5818913592704033,-1.2547585598115067,-0.581909911244973,-1.254802509786577,-0.5819147021035113,-1.2548139217934402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6645263986455754,3.6305636757507456
